form	lemma	POS
pour	pour	ADP
spéculer	spéculer	VERB
ou	ou	CCONJ
pour	pour	ADP
rêver	rêver	VERB
je	je	PRON
pourrais	pouvoir	VERB
admettre	admettre	VERB
qu'	que	SCONJ
il	il	PRON
reste	reste	VERB
extérieur	extérieur	ADJ
à	à	ADP
la	le	DET
réalité	réalité	NOUN
,	,	PUNCT
qu'	que	SCONJ
il	il	PRON
la	le	DET
déforme	déforme	NOUN
et	et	CCONJ
qu'	que	SCONJ
il	il	PRON
la	le	DET
transforme	transforme	NOUN
,	,	PUNCT
peut-être	peut-être	ADV
même	même	ADV
qu'	que	SCONJ
il	il	PRON
la	le	DET
crée	crée	NOUN
,	,	PUNCT
comme	comme	SCONJ
nous	nous	PRON
créons	créer	VERB
les	le	DET
figures	figure	NOUN
d'	de	ADP
hommes	homme	NOUN
et	et	CCONJ
d'	de	ADP
animaux	animaux	PROPN
que	que	SCONJ
notre	notre	DET
imagination	imagination	NOUN
découpe	découpe	VERB
dans	dans	ADP
le	le	DET
nuage	nuage	NOUN
qui	qui	PRON
passe	passer	VERB
.	.	PUNCT
Mais	mais	CCONJ
une	un	DET
intelligence	intelligence	NOUN
tendue	tendre	VERB
vers	vers	ADP
l'	le	DET
action	action	NOUN
qui	qui	PRON
s'	se	PRON
accomplira	accomplir	VERB
et	et	CCONJ
vers	vers	ADP
la	le	DET
réaction	réaction	NOUN
qui	qui	PRON
s'	se	PRON
ensuivra	ensuivre	VERB
,	,	PUNCT
palpant	palper	VERB
son	son	DET
objet	objet	NOUN
pour	pour	ADP
en	en	PRON
recevoir	recevoir	VERB
à	à	ADP
chaque	chaque	DET
instant	instant	NOUN
l'	le	DET
impression	impression	NOUN
mobile	mobile	ADJ
,	,	PUNCT
est	être	AUX
une	un	DET
intelligence	intelligence	NOUN
qui	qui	PRON
touche	touche	VERB
quelque	quelque	DET
chose	chose	NOUN
de	de	ADP
l'	le	DET
absolu	absolu	NOUN
.	.	PUNCT
L'	le	DET
idée	idée	NOUN
nous	nous	PRON
serait	être	AUX
-elle	lui	PRON
jamais	jamais	ADV
venue	venir	VERB
de	de	ADP
mettre	mettre	VERB
en	en	ADP
doute	doute	NOUN
cette	ce	DET
valeur	valeur	NOUN
absolue	absolu	ADJ
de	de	ADP
notre	notre	DET
connaissance	connaissance	NOUN
,	,	PUNCT
si	si	SCONJ
la	le	DET
philosophie	philosophie	NOUN
ne	ne	ADV
nous	nous	PRON
avait	avoir	AUX
montré	montrer	VERB
à	à	ADP
quelles	quel	DET
contradictions	contradiction	NOUN
notre	notre	DET
spéculation	spéculation	NOUN
se	se	PRON
heurte	heurte	VERB
,	,	PUNCT
à	à	ADP
quelles	quel	DET
impasses	impasse	NOUN
elle	lui	PRON
aboutit	aboutir	VERB
?	?	PUNCT
Mais	mais	CCONJ
ces	ce	DET
difficultés	difficulté	NOUN
,	,	PUNCT
ces	ce	DET
contradictions	contradiction	NOUN
naissent	naissent	ADV
de	de	ADP
ce	ce	PRON
que	que	PRON
nous	nous	PRON
appliquons	appliquer	VERB
les	le	DET
formes	forme	NOUN
habituelles	habituel	ADJ
de	de	ADP
notre	notre	DET
pensée	pensée	NOUN
à	à	ADP
des	un	DET
objets	objet	NOUN
sur	sur	ADP
lesquels	lequel	PRON
notre	notre	DET
industrie	industrie	NOUN
n'	n'	ADV
a	avoir	VERB
pas	pas	ADV
à	à	ADP
s'	se	PRON
exercer	exercer	NOUN
et	et	CCONJ
pour	pour	ADP
lesquels	lequel	PRON
,	,	PUNCT
par	par	ADP
conséquent	conséquent	NOUN
,	,	PUNCT
nos	notre	DET
cadres	cadre	NOUN
ne	ne	ADV
sont	être	AUX
pas	pas	ADV
faits	faire	VERB
.	.	PUNCT
La	le	DET
connaissance	connaissance	NOUN
intellectuelle	intellectuel	ADJ
,	,	PUNCT
en	en	ADP
tant	tant	ADV
qu'	que	SCONJ
elle	lui	PRON
se	se	PRON
rapporte	rapporte	VERB
à	à	ADP
un	un	DET
certain	certain	NOUN
aspect	aspect	ADJ
de	de	ADP
la	le	DET
matière	matière	NOUN
inerte	inerte	ADJ
,	,	PUNCT
doit	devoir	VERB
au	au	DET
contraire	contraire	NOUN
nous	nous	PRON
en	en	PRON
